pdbid,-logKd/Ki,protein_name,set,dataset
3tl0,6.59,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 11",general,train
3uvn,6.59,WD REPEAT-CONTAINING PROTEIN 5,general,train
3wcl,6.59,SQUALENE SYNTHASE,general,train
4bnz,6.59,3-OXOACYL-[ACYL-CARRIER-PROTEIN] REDUCTASE FABG,general,train
4dea,6.59,AURORA KINASE A,general,train
4j51,6.59,TYROSINE-PROTEIN PHOSPHATASE NON-RECEPTOR TYPE 22,general,train
4li0,6.59,RAS-RELATED PROTEIN RAB-8A,general,train
4q3s,6.59,ARGINASE,general,train
4qmq,6.59,SERINE/THREONINE-PROTEIN KINASE 24,general,train
4qnb,6.59,CAPSID PROTEIN P24,refined,train
4rn0,6.59,HISTONE DEACETYLASE 8,general,train
4xas,6.59,METABOTROPIC GLUTAMATE RECEPTOR 2,refined,train
5akh,6.59,EPOXIDE HYDROLASE 2,general,train
5ddd,6.59,MENIN,general,train
5e0a,6.59,PEPTIDOGLYCAN RECOGNITION PROTEIN 1,general,train
5ew0,6.59,BETA-LACTAMASE,refined,train
5gjf,6.59,TAK1 KINASE - TAB1 CHIMERA FUSION PROTEIN,general,train
5jsm,6.59,SERINE/THREONINE-PROTEIN KINASE B-RAF,general,train
5kbr,6.59,SERINE/THREONINE-PROTEIN KINASE PAK 1,general,train
5l4i,6.59,TRANSTHYRETIN,refined,train
5v3x,6.59,POLYKETIDE SYNTHASE PKS13,general,train
5vja,6.59,DEATH-ASSOCIATED PROTEIN KINASE 3,refined,train
6dq8,6.59,LINKED KDM5A JMJ DOMAIN,general,train
6dud,6.59,TYROSINE-PROTEIN KINASE JAK3,general,train
6ea1,6.59,M1 FAMILY AMINOPEPTIDASE,general,train
1ad8,6.6,THROMBIN,general,train
1b38,6.6,CELL DIVISION PROTEIN KINASE 2,refined,train
1d8e,6.6,FARNESYLTRANSFERASE ALPHA SUBUNIT,general,train
1g7g,6.6,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",refined,train
1gwr,6.6,ESTROGEN RECEPTOR,general,test
1jzs,6.6,ISOLEUCYL-TRNA SYNTHETASE,refined,train
1kwr,6.6,CARBONIC ANHYDRASE 2,general,train
1vot,6.6,ACETYLCHOLINESTERASE,general,train
1zpc,6.6,COAGULATION FACTOR XI,general,train
2a4z,6.6,"PHOSPHATIDYLINOSITOL-4,5-BISPHOSPHATE 3-KINASE",general,train
2c5x,6.6,CELL DIVISION PROTEIN KINASE 2,general,train
2c5y,6.6,CELL DIVISION PROTEIN KINASE 2,general,train
2euk,6.6,GLYCOLIPID TRANSFER PROTEIN,refined,train
2f7p,6.6,ALPHA-MANNOSIDASE II,refined,train
2gg2,6.6,METHIONINE AMINOPEPTIDASE,general,train
2gg5,6.6,METHIONINE AMINOPEPTIDASE,general,train
2gtk,6.6,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR GAMMA,general,train
2j4g,6.6,O-GLCNACASE BT_4395,refined,train
2jdp,6.6,FUCOSE-BINDING LECTIN PA-IIL,refined,train
2wly,6.6,CHITINASE A,refined,train
2xhx,6.6,HEAT SHOCK PROTEIN HSP90-ALPHA,general,train
2y77,6.6,3-DEHYDROQUINATE DEHYDRATASE,general,train
3cwk,6.6,CELLULAR RETINOIC ACID-BINDING PROTEIN 2,general,train
3dgl,6.6,ATP-BINDING PROTEIN-DX,general,train
3dln,6.6,GLUTAMATE RECEPTOR 3,refined,train
3ejs,6.6,ALPHA-MANNOSIDASE II,general,train
3eju,6.6,ALPHA-MANNOSIDASE II,general,train
3eyl,6.6,BACULOVIRAL IAP REPEAT-CONTAINING PROTEIN 4,general,train
3ip6,6.6,"ABC TRANSPORTER, SUBSTRATE BINDING PROTEIN",refined,train
3jzp,6.6,PROTEIN MDM4,general,train
3lxe,6.6,CARBONIC ANHYDRASE 1,refined,train
3mpt,6.6,MITOGEN-ACTIVATED PROTEIN KINASE 14,general,train
3tu1,6.6,E3 UBIQUITIN-PROTEIN LIGASE MDM2,general,train
3v3q,6.6,NUCLEAR RECEPTOR SUBFAMILY 4 GROUP A MEMBER 1,refined,train
4bib,6.6,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 5,general,train
4bie,6.6,MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 5,general,train
4ci1,6.6,DNA DAMAGE-BINDING PROTEIN 1,general,train
4dkq,6.6,HIV-1 GP120 CORE,refined,train
4efu,6.6,HEAT SHOCK PROTEIN HSP90-ALPHA,general,train
4f08,6.6,TYROSINE-PROTEIN KINASE JAK2,general,train
4h75,6.6,SPINDLIN-1,refined,train
4mr5,6.6,BROMODOMAIN-CONTAINING PROTEIN 2,general,train
4mr6,6.6,BROMODOMAIN-CONTAINING PROTEIN 2,refined,train
4muk,6.6,PANTOTHENATE SYNTHETASE,general,train
4oc1,6.6,GLUTAMATE CARBOXYPEPTIDASE 2,refined,train
4pnk,6.6,BETA-ADRENERGIC RECEPTOR KINASE 1,general,train
4qk4,6.6,STEROIDOGENIC FACTOR 1,general,train
4qr4,6.6,BROMODOMAIN-CONTAINING PROTEIN 4,general,train
4wpf,6.6,NUCLEAR RECEPTOR ROR-GAMMA,general,train
4x8o,6.6,ADENYLATE KINASE,refined,train
4xii,6.6,CHOLINESTERASE,general,train
4ybi,6.6,BETA-SECRETASE 1,general,train
4zzd,6.6,"TRANSCRIPTIONAL REGULATOR, PADR-LIKE FAMILY",refined,train
5alk,6.6,EPOXIDE HYDROLASE 2,general,train
5f00,6.6,BETA-SECRETASE 1,general,train
5i88,6.6,BROMODOMAIN-CONTAINING PROTEIN 4,refined,train
5igq,6.6,E3 UBIQUITIN-PROTEIN LIGASE RFWD2,general,train
5j19,6.6,SERINE/THREONINE-PROTEIN KINASE PLK1,general,train
5k48,6.6,BETA-LACTAMASE VIM-2,general,train
5l7e,6.6,MINERALOCORTICOID RECEPTOR,refined,train
5lma,6.6,TYROSINE-PROTEIN KINASE SYK,general,train
5lqf,6.6,CYCLIN-DEPENDENT KINASE 1,general,train
5mb1,6.6,FUCOSE-BINDING LECTIN PA-IIL,general,train
5nw1,6.6,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,refined,train
5wtt,6.6,HEAVY CHAIN OF 093G9 FAB,general,train
5z7j,6.6,LACTONASE FOR PROTEIN,refined,train
6bh5,6.6,"LYSINE-SPECIFIC DEMETHYLASE 5A, LINKED KDM5A JMJ DOMAIN",general,train
6c2y,6.6,BETA-ADRENERGIC RECEPTOR KINASE 1,general,train
6ccq,6.6,PHOSPHOPANTETHEINE ADENYLYLTRANSFERASE,general,train
6d5g,6.6,GTPASE HRAS,refined,train
6eis,6.6,DUAL SPECIFICITY TYROSINE-PHOSPHORYLATION-REGULATED KINASE,refined,train
6g4m,6.6,ACETYLCHOLINESTERASE,general,train
6hdo,6.6,ATPASE FAMILY AAA DOMAIN-CONTAINING PROTEIN 2,general,train
3f7u,6.61,CARBONIC ANHYDRASE 4,general,train
3kig,6.61,CARBONIC ANHYDRASE 2,general,train
3mo2,6.61,"HISTONE-LYSINE N-METHYLTRANSFERASE, H3 LYSINE-9 SPECIFIC",general,train
3qpo,6.61,PHOSPHODIESTERASE,general,train
3rjm,6.61,CASPASE-2 SUBUNIT P18,general,train
4nnw,6.61,PROTEASOME SUBUNIT ALPHA TYPE-2,general,train
4qw3,6.61,PROTEASOME SUBUNIT ALPHA TYPE-2,general,train
5ai9,6.61,EPOXIDE HYDROLASE 2,general,train
6cmr,6.61,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 11",general,train
6gfy,6.61,ELONGIN-B,general,train
1afk,6.62,RIBONUCLEASE A,refined,train
1ii5,6.62,HYPOTHETICAL PROTEIN SLR1257,refined,train
1jd5,6.62,APOPTOSIS 1 INHIBITOR,general,train
1kkq,6.62,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR ALPHA,general,train
1s3k,6.62,ANTIBODY FAB FRAGMENT Hu3s193,general,train
1soj,6.62,"CGMP-INHIBITED 3',5'-CYCLIC PHOSPHODIESTERASE B",general,train
1tkz,6.62,"HIV-1 REVERSE TRANSCRIPTASE, CHAIN A",general,train
1xnz,6.62,METHIONINE AMINOPEPTIDASE,general,train
2cnf,6.62,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",general,train
2ews,6.62,PANTOTHENATE KINASE,refined,train
2j7b,6.62,BETA-GLUCOSIDASE A,refined,train
2jgs,6.62,CIRCULAR PERMUTANT OF AVIDIN,refined,train
2vwc,6.62,HEAT SHOCK PROTEIN HSP82,refined,train
2vww,6.62,EPHRIN TYPE-B RECEPTOR 4,general,train
2w0j,6.62,SERINE/THREONINE-PROTEIN KINASE CHK2,general,train
2zb0,6.62,MITOGEN-ACTIVATED PROTEIN KINASE 14,general,train
2zq1,6.62,TRYPSIN,general,train
3aav,6.62,TRYPSIN,general,train
3iu9,6.62,METHIONINE AMINOPEPTIDASE,general,train
3ka2,6.62,L-ALA51;GLY51']HIV-1 PROTEASE,general,train
3ljo,6.62,TRYPSIN,refined,train
3m93,6.62,TRANSLATION INITIATION FACTOR 4E,general,train
3opm,6.62,DIPEPTIDYL PEPTIDASE 4,general,train
3ozp,6.62,N-ACETYLGLUCOSAMINIDASE,refined,train
3umx,6.62,SERINE/THREONINE-PROTEIN KINASE PIM,general,train
4btk,6.62,TAU-TUBULIN KINASE 1,refined,train
4er1,6.62,ENDOTHIAPEPSIN,refined,train
4gfo,6.62,NON-RECEPTOR TYROSINE-PROTEIN KINASE TYK2,refined,train
4ixv,6.62,"ARGINASE-2, MITOCHONDRIAL PRECURSON",general,train
4mpn,6.62,PYRUVATE DEHYDROGENASE [LIPOAMIDE] KINASE ISOZYME,refined,train
4rd0,6.62,TRANSLATION INITIATION FACTOR 2 SUBUNIT GAMMA,refined,train
4txc,6.62,DEATH-ASSOCIATED PROTEIN KINASE 1,general,train
4unq,6.62,THYMIDYLATE KINASE,general,train
4x8n,6.62,SET1/ASH2 HISTONE METHYLTRANSFERASE COMPLEX SUBUNIT,general,train
4znx,6.62,TYROSINE-PROTEIN KINASE FYN,general,train
5ejl,6.62,KLEBSIELLA PNEUMONIAE GENOME ASSEMBLY NOVST,general,train
5l6h,6.62,UBIQUITIN-ACTIVATING ENZYME E1 1,general,train
5m55,6.62,SERINE/THREONINE-PROTEIN KINASE NEK2,general,train
5mw3,6.62,"HISTONE-LYSINE N-METHYLTRANSFERASE, H3 LYSINE-79 SPECIFIC",general,train
5o9h,6.62,C5A ANAPHYLATOXIN CHEMOTACTIC RECEPTOR 1,general,train
5op2,6.62,SERINE/THREONINE-PROTEIN KINASE CHK1,general,train
5q0j,6.62,BILE ACID RECEPTOR,general,train
5syn,6.62,ACYL-PROTEIN THIOESTERASE 2,general,train
5t1l,6.62,"CETUXIMAB FAB, LIGHT CHAIN",general,train
5t37,6.62,PROSTAGLANDIN E SYNTHASE,general,train
5ugd,6.62,PLASMINOGEN,general,train
5unj,6.62,NUCLEAR RECEPTOR SUBFAMILY 5 GROUP A MEMBER 2,general,train
5v42,6.62,POLYKETIDE SYNTHASE PKS13,general,train
5w10,6.62,CGMP-SPECIFIC PHOSPHODIESTERASE,general,train
5wjj,6.62,MITOGEN-ACTIVATED PROTEIN KINASE 14,general,train
5yjp,6.62,CHYMASE,general,train
6eqv,6.62,FURIN,refined,train
6g38,6.62,SERINE/THREONINE-PROTEIN KINASE HASPIN,refined,train
8lpr,6.62,ALPHA-LYTIC PROTEASE,general,train
2exc,6.63,MITOGEN-ACTIVATED PROTEIN KINASE 10,general,train
2qlq,6.63,TYROSINE-PROTEIN KINASE SRC,general,train
2x7t,6.63,CARBONIC ANHYDRASE 2,refined,train
2yfe,6.63,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR GAMMA,refined,train
3arb,6.63,ANTIGEN-PRESENTING GLYCOPROTEIN CD1D1,general,train
3f8f,6.63,"TRANSCRIPTIONAL REGULATOR, PADR-LIKE FAMILY",refined,train
3os3,6.63,MITOGEN-ACTIVATED PROTEIN KINASE KINASE 1 (MERK 1),general,train
3wf8,6.63,RIBOSOMAL PROTEIN S6 KINASE BETA-1,general,train
4eyr,6.63,HIV-1 PROTEASE,general,train
4jg1,6.63,ANTIBODY FAB LIGHT CHAIN,general,train
4k77,6.63,TYROSINE-PROTEIN KINASE JAK1,refined,train
4l0v,6.63,TANKYRASE-2,general,train
4lyw,6.63,BROMODOMAIN-CONTAINING PROTEIN 4,refined,train
4nw7,6.63,"CAMP-SPECIFIC 3',5'-CYCLIC PHOSPHODIESTERASE 4B",general,train
4pv7,6.63,DIPEPTIDYL PEPTIDASE 4,general,train
4rsc,6.63,RETINOID ISOMEROHYDROLASE,general,train
4xip,6.63,HEAT SHOCK PROTEIN HSP90-ALPHA,refined,train
4xrq,6.63,CAPSID PROTEIN P24,general,train
5jt9,6.63,THERMOLYSIN,refined,train
5u2c,6.63,BROMODOMAIN-CONTAINING PROTEIN 4,general,train
6b97,6.63,"CGMP-DEPENDENT 3',5'-CYCLIC PHOSPHODIESTERASE",refined,train
6djc,6.63,BROMODOMAIN-CONTAINING PROTEIN 4,general,train
6elp,6.63,HEAT SHOCK PROTEIN HSP90-ALPHA,refined,train
1lcp,6.64,LEUCINE AMINOPEPTIDASE,refined,train
1sln,6.64,STROMELYSIN-1,refined,train
1tmm,6.64,2-AMINO-4-HYDROXY-6-HYDROXYMETHYLDIHYDROPTERIDINE,general,train
2b1g,6.64,BIFUNCTIONAL PURINE BIOSYNTHESIS PROTEIN PURH,refined,train
2d3z,6.64,RNA-DIRECTED RNA POLYMERASE,refined,train
2gej,6.64,PHOSPHATIDYLINOSITOL MANNOSYLTRANSFERASE (PIMA),general,train
2h96,6.64,MITOGEN-ACTIVATED PROTEIN KINASE 8,general,train
2jdo,6.64,RAC-BETA SERINE/THREONINE-PROTEIN KINASE,general,train
2kpl,6.64,"MEMBRANE-ASSOCIATED GUANYLATE KINASE, WW AND PDZ DO",general,train
2oi3,6.64,TYROSINE-PROTEIN KINASE HCK,general,train
2srt,6.64,STROMELYSIN-1,general,train
2wap,6.64,FATTY-ACID AMIDE HYDROLASE 1,general,train
2wbd,6.64,"FRUCTOSE-1,6-BISPHOSPHATASE 1",general,train
2wi6,6.64,HEAT SHOCK PROTEIN HSP90-ALPHA,general,train
2za0,6.64,GLYOXALASE I,refined,train
3b26,6.64,HEAT SHOCK PROTEIN HSP90-ALPHA,refined,train
3cf1,6.64,TRANSITIONAL ENDOPLASMIC RETICULUM ATPASE,general,train
3eoc,6.64,CELL DIVISION PROTEIN KINASE 2,general,train
3fee,6.64,GLUTAMATE CARBOXYPEPTIDASE 3,refined,train
3g76,6.64,BACULOVIRAL IAP REPEAT-CONTAINING PROTEIN 4,general,train
3zy5,6.64,PUTATIVE GDP-FUCOSE PROTEIN O-FUCOSYLTRANSFERASE 1,general,train
4cc6,6.64,DNA LIGASE,general,train
4e8z,6.64,D-BETA-D-HEPTOSE 7-PHOSPHATE KINASE,general,train
4io8,6.64,HEAT SHOCK 70 KDA PROTEIN 1A,general,train
4jit,6.64,XANTHINE PHOSPHORIBOSYLTRANSFERASE,general,train
4rxe,6.64,FARNESYL PYROPHOSPHATE SYNTHASE,general,train
5abp,6.64,L-ARABINOSE-BINDING PROTEIN,general,train
5i2e,6.64,HISTIDINE TRIAD NUCLEOTIDE-BINDING PROTEIN 1,refined,train
5jap,6.64,PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE,general,train
5jat,6.64,PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE,general,train
5ko1,6.64,MIXED LINEAGE KINASE DOMAIN-LIKE PROTEIN,refined,train
5l3j,6.64,DNA GYRASE SUBUNIT B,general,train
5lcj,6.64,MITOGEN-ACTIVATED PROTEIN KINASE 1,general,train
5nk8,6.64,EPHRIN TYPE-A RECEPTOR 2,refined,train
5nu3,6.64,CREB-BINDING PROTEIN,general,train
5ul1,6.64,"PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE 3-KINASE",general,train
5y8w,6.64,BROMODOMAIN-CONTAINING PROTEIN 4,general,train
6czv,6.64,BROMODOMAIN-CONTAINING PROTEIN 4,general,train
6dxx,6.64,N-ACYLETHANOLAMINE-HYDROLYZING ACID AMIDASE SUBUNIT ALPHA,general,train
2j75,6.65,BETA-GLUCOSIDASE A,refined,train
2pre,6.65,ERVATAMIN-C,general,train
3eio,6.65,DIPEPTIDYL PEPTIDASE 4,general,train
3mzc,6.65,CARBONIC ANHYDRASE 2,refined,train
3zpr,6.65,BETA-1 ADRENERGIC RECEPTOR,general,train
4hww,6.65,ARGINASE-1,general,train
4yha,6.65,ALPHA-CARBONIC ANHYDRASE,refined,train
6cwn,6.65,SURFACE (S-) LAYER GLYCOPROTEIN,refined,train
6guf,6.65,CYCLIN-DEPENDENT KINASE 2,general,train
1a4r,6.66,G25K GTP-BINDING PROTEIN,refined,train
1cps,6.66,CARBOXYPEPTIDASE A,refined,train
1elc,6.66,ELASTASE,refined,train
1h3h,6.66,GRB2-RELATED ADAPTOR PROTEIN 2,general,train
1o3p,6.66,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,general,train
1pxp,6.66,CELL DIVISION PROTEIN KINASE 2,refined,train
1wur,6.66,GTP CYCLOHYDROLASE I,refined,train
2c5n,6.66,CELL DIVISION PROTEIN KINASE 2,general,train
2c8x,6.66,THROMBIN LIGHT CHAIN,general,train
2j7w,6.66,POLYPROTEIN,general,train
2v5x,6.66,HISTONE DEACETYLASE 8,general,train
2vx1,6.66,EPHRIN TYPE-B RECEPTOR 4,general,train
2xj7,6.66,O-GLCNACASE BT_4395,refined,train
2y5k,6.66,"FRUCTOSE-1,6-BISPHOSPHATASE 1",general,train
2yz3,6.66,METALLO-BETA-LACTAMASE,refined,train
2zm1,6.66,TYROSINE-PROTEIN KINASE LCK,general,train
3iej,6.66,CATHEPSIN S,general,train
3lnj,6.66,E3 UBIQUITIN-PROTEIN LIGASE MDM2,general,train
3lp2,6.66,HIV-1 REVERSE TRANSCRIPTASE/RIBONUCLEASE H,general,train
3ow6,6.66,HEAT SHOCK PROTEIN HSP90-ALPHA,general,train
3pwd,6.66,"CASEIN KINASE II, ALPHA SUBUNIT",refined,train
3shv,6.66,MICROCEPHALIN,general,train
3uat,6.66,DISKS LARGE HOMOLOG 1,general,train
3zj6,6.66,RAUCAFFRICINE-O-BETA-D-GLUCOSIDASE,refined,train
4bjb,6.66,TANKYRASE-2,general,train
4e96,6.66,BROMODOMAIN-CONTAINING PROTEIN 4,general,train
4izm,6.66,425AA LONG HYPOTHETICAL PROTON GLUTAMATE SYMPORT,general,train
4j08,6.66,GENOME POLYPROTEIN,general,train
4jr3,6.66,EPIDERMAL GROWTH FACTOR RECEPTOR,general,train
4jv6,6.66,"RETINAL ROD RHODOPSIN-SENSITIVE CGMP 3',5'-CYCLIC",general,train
4ps1,6.66,CASPASE-8,general,train
4v27,6.66,GLYCOSYL HYDROLASE FAMILY 71,refined,train
4y24,6.66,GALECTIN-1,general,train
4yqu,6.66,GLUTATHIONE S-TRANSFERASE OMEGA-1,general,train
4z2g,6.66,CHITINASE B,general,train
4z7h,6.66,SERINE/THREONINE-PROTEIN KINASE/ENDORIBONUCLEASE IR,general,train
4zjw,6.66,NUCLEAR RECEPTOR ROR-GAMMA,general,train
5cls,6.66,METHIONINE AMINOPEPTIDASE 2,general,train
5cy9,6.66,BROMODOMAIN-CONTAINING PROTEIN 4,refined,train
5g6u,6.66,LANGERIN,general,train
5m6f,6.66,E3 UBIQUITIN-PROTEIN LIGASE XIAP,general,train
5mja,6.66,EPHRIN TYPE-B RECEPTOR 1,general,train
5mz3,6.66,MITOGEN-ACTIVATED PROTEIN KINASE 14,general,train
5n9t,6.66,UBIQUITIN CARBOXYL-TERMINAL HYDROLASE 7,general,train
5nxi,6.66,CARBONIC ANHYDRASE 2,refined,train
5wyx,6.66,TOLL-LIKE RECEPTOR 8,refined,train
5wzt,6.66,GROUP IIE SECRETORY PHOSPHOLIPASE A2,general,train
6aps,6.66,HYPOXANTHINE-GUANINE PHOSPHORIBOSYLTRANSFERASE,general,train
6bfw,6.66,BETA-SECRETASE 1,general,train
6bh0,6.66,"LYSINE-SPECIFIC DEMETHYLASE 5A, LINKED KDM5A JMJ DOMAIN",general,train
6biy,6.66,"HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DR ALPHA CHAIN",general,train
6c5q,6.66,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR GAMMA,general,train
6dar,6.66,WD REPEAT-CONTAINING PROTEIN 5,refined,train
6fa2,6.66,GTPASE KRAS,general,train
6g6y,6.66,KINESIN-LIKE PROTEIN KIF11,general,train
6g6z,6.66,KINESIN-LIKE PROTEIN KIF11,general,train
6giu,6.66,INOSITOL MONOPHOSPHATASE 1,general,train
6htt,6.66,HISTONE DEACETYLASE,general,train
2etm,6.67,FOCAL ADHESION KINASE 1,general,train
3ew2,6.67,RHIZAVIDIN,general,train
3g19,6.67,ATP-DEPENDENT CLP PROTEASE ADAPTER PROTEIN CLPS,refined,train
4yl1,6.67,PROSTAGLANDIN E SYNTHASE,general,train
5aad,6.67,AURORA KINASE A,general,train
5cav,6.67,EPIDERMAL GROWTH FACTOR RECEPTOR,general,train
5fho,6.67,GLUTAMATE RECEPTOR 2,refined,train
5o11,6.67,SERINE/THREONINE-PROTEIN KINASE PIM-1,general,train
5op5,6.67,SERINE/THREONINE-PROTEIN KINASE CHK1,refined,train
6b1k,6.67,MACROPHAGE MIGRATION INHIBITORY FACTOR,refined,train
6bbx,6.67,GLYOXALASE/BLEOMYCIN RESISANCE PROTEIN/DIOXYGENASE,refined,train
6ee6,6.67,M1 FAMILY AMINOPEPTIDASE,general,train
1bdr,6.68,HIV-1 PROTEASE,general,train
1c5x,6.68,UROKINASE-TYPE PLASMINOGEN ACTIVATOR,refined,train
1mai,6.68,PHOSPHOLIPASE C DELTA-1,refined,train
1oiu,6.68,CELL DIVISION PROTEIN KINASE 2,general,train
1zeo,6.68,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR GAMMA,general,train
2cm7,6.68,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",general,train
2fqw,6.68,MEMBRANE LIPOPROTEIN TMPC,refined,train
2iwx,6.68,HEAT SHOCK PROTEIN HSP82,refined,train
2of2,6.68,TYROSINE-PROTEIN KINASE LCK,general,train
2ony,6.68,PHENYLETHANOLAMINE N-METHYLTRANSFERASE,general,train
2qbs,6.68,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1",refined,train
2qp6,6.68,CARBONIC ANHYDRASE 2,general,train
2rcu,6.68,CARNITINE O-PALMITOYLTRANSFERASE 2,general,train
2wf0,6.68,BETA-SECRETASE 1,general,train
2wtd,6.68,SERINE/THREONINE-PROTEIN KINASE CHK2,general,train
3dab,6.68,PROTEIN MDM4,general,train
3ddq,6.68,CELL DIVISION PROTEIN KINASE 2,general,train
3fhr,6.68,MAP KINASE-ACTIVATED PROTEIN KINASE 3,general,train
3ie3,6.68,GLUTATHIONE S-TRANSFERASE P1-1,general,train
3lpf,6.68,BETA-GLUCURONIDASE,general,train
3o75,6.68,FRUCTOSE TRANSPORT SYSTEM REPRESSOR FRUR,refined,train
3qa2,6.68,,general,train
3su1,6.68,NS3/4A PROTEASE,refined,train
3ttj,6.68,MITOGEN-ACTIVATED PROTEIN KINASE 10,general,train
3ws8,6.68,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",general,train
3zhx,6.68,1-DEOXY-D-XYLULOSE 5-PHOSPHATE REDUCTOISOMERASE,refined,train
4acm,6.68,CYCLIN-DEPENDENT KINASE 2,general,train
4ca8,6.68,ANGIOTENSIN-CONVERTING ENZYME,refined,train
4ew2,6.68,TRIFUNCTIONAL PURINE BIOSYNTHETIC PROTEIN ADENOSINE,refined,train
4h39,6.68,MITOGEN-ACTIVATED PROTEIN KINASE 10,general,train
4h4e,6.68,4-HYDROXY-3-METHYLBUT-2-ENYL DIPHOSPHATE REDUCTASE,general,train
4l2g,6.68,TANKYRASE-2,general,train
4q6r,6.68,SPHINGOSINE-1-PHOSPHATE LYASE 1,general,train
4qmz,6.68,SERINE/THREONINE-PROTEIN KINASE 24,general,train
4rrs,6.68,BETA-SECRETASE 1,general,train
4ttv,6.68,"THREONINE--TRNA LIGASE, CYTOPLASMIC",general,train
4wpn,6.68,RETINAL DEHYDROGENASE 1,general,train
5h0e,6.68,TYROSINE-PROTEIN KINASE HCK,general,train
5h6v,6.68,GENOME POLYPROTEIN,general,train
5l2w,6.68,CYCLIN-DEPENDENT KINASE 2,general,train
5n8v,6.68,PEROXIN 14,general,train
5o4f,6.68,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 3",refined,train
5t90,6.68,ACETYLCHOLINE-BINDING PROTEIN,general,train
5wzv,6.68,GROUP IIE SECRETORY PHOSPHOLIPASE A2,general,train
5y0f,6.68,"FATTY ACID-BINDING PROTEIN, ADIPOCYTE",general,train
5y5t,6.68,TYROSINE-PROTEIN KINASE SYK,general,train
6ayi,6.68,HTH-TYPE TRANSCRIPTIONAL REGULATOR UIDR,refined,train
6bgw,6.68,"LYSINE-SPECIFIC DEMETHYLASE 5A, LINKED KDM5A JMJ DOMAIN",general,train
2jew,6.69,CARBOXYPEPTIDASE B,refined,train
2xn5,6.69,THYROXINE-BINDING GLOBULIN,refined,train
3wf7,6.69,RIBOSOMAL PROTEIN S6 KINASE BETA-1,general,train
4b4m,6.69,GLUCOSE-1-PHOSPHATE THYMIDYLYLTRANSFERASE,general,train
4d8i,6.69,STREPTOPAIN,general,train
4mm6,6.69,TRANSPORTER,general,train
5a6x,6.69,FUCOSE-BINDING LECTIN PA-IIL,refined,train
5alf,6.69,EPOXIDE HYDROLASE 2,general,train
5ejv,6.69,NUCLEAR RECEPTOR ROR-GAMMA,general,train
5fs5,6.69,FIMH PROTEIN,refined,train
5ho6,6.69,HEPATOCYTE GROWTH FACTOR RECEPTOR,general,train
5m0s,6.69,ECTONUCLEOTIDE PYROPHOSPHATASE/PHOSPHODIESTERASE,general,train
5yhe,6.69,NICKEL ABC TRANSPORTER SUBSTRATE-BINDING PROTEIN,refined,train
6ee4,6.69,M1 FAMILY AMINOPEPTIDASE,general,train
1a09,6.7,C-SRC TYROSINE KINASE,general,train
1a50,6.7,TRYPTOPHAN SYNTHASE ALPHA CHAIN,general,train
1b0h,6.7,OLIGO-PEPTIDE BINDING PROTEIN,refined,train
1b3g,6.7,OLIGO-PEPTIDE BINDING PROTEIN,refined,train
1dfo,6.7,SERINE HYDROXYMETHYLTRANSFERASE,general,train
1eld,6.7,ELASTASE,refined,train
1f3e,6.7,QUEUINE TRNA-RIBOSYLTRANSFERASE,refined,train
1fo3,6.7,"ALPHA-1,2-MANNOSIDASE",general,train
1gca,6.7,GLUCOSE/GALACTOSE-BINDING PROTEIN,general,train
1hp0,6.7,IAG-NUCLEOSIDE HYDROLASE,general,train
1i7i,6.7,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR GAMMA,general,train
1jq3,6.7,SPERMIDINE SYNTHASE,general,train
1ke3,6.7,BETA-LACTAMASE,general,train
1kf6,6.7,FUMARATE REDUCTASE FLAVOPROTEIN,general,train
1koj,6.7,GLUCOSE-6-PHOSPHATE ISOMERASE,refined,train
1lfo,6.7,LIVER FATTY ACID BINDING PROTEIN,general,train
1mwn,6.7,"S-100 PROTEIN, BETA CHAIN",general,train
1nki,6.7,PROBABLE FOSFOMYCIN RESISTANCE PROTEIN,refined,train
1nms,6.7,CASPASE-3,general,train
